ts_us,raw_ch0,raw_ch1,filt_ch0,filt_ch1
111269,-275.50,-223.50,-44.4714,-35.9509
115175,-290.50,-239.50,-161.5321,-131.7016
119081,-159.50,-274.50,-242.4747,-222.2305
122987,-86.50,-276.50,-209.4015,-265.1409
126893,-165.50,-270.50,-142.8450,-274.2988
130799,-320.50,-232.50,-148.8125,-258.6358
134705,-352.50,-220.50,-226.1997,-226.4252
138611,-196.50,-278.50,-272.7066,-206.7325
142517,-83.50,-326.50,-222.0082,-226.4191
146423,-118.50,-302.50,-133.4102,-262.3514
150329,-269.50,-250.50,-107.9507,-267.1537
154235,-290.50,-212.50,-156.9250,-230.8709
158141,-146.50,-239.50,-190.1221,-188.9917
162047,-4.50,-268.50,-140.1919,-177.5875
165953,-47.50,-254.50,-54.9271,-189.6371
169859,-260.50,-271.50,-40.1477,-200.5579
173765,-316.50,-239.50,-116.9502,-200.8306
177671,-196.50,-239.50,-185.1975,-188.0445
181577,-72.50,-303.50,-168.1892,-182.0766
185483,-92.50,-294.50,-105.4304,-197.3125
189389,-235.50,-243.50,-80.5970,-204.0339
193295,-315.50,-180.50,-118.8006,-175.4778
197201,-239.50,-252.50,-166.6156,-140.1077
201107,-79.50,-303.50,-159.9012,-144.3159
205013,-63.50,-302.50,-101.9113,-176.7609
208919,-201.50,-232.50,-62.5890,-187.7189
212825,-293.50,-173.50,-83.8309,-156.0621
216731,-212.50,-224.50,-122.3005,-115.0132
220637,-58.50,-259.50,-114.3142,-106.9731
224543,-40.50,-252.50,-63.6618,-121.8339
228449,-188.50,-192.50,-35.7482,-122.5838
232355,-283.50,-188.50,-63.9735,-103.0236
236261,-248.50,-258.50,-108.6621,-95.9818
240167,-93.50,-315.50,-115.7401,-122.4651
244073,-24.50,-309.50,-74.5942,-157.5518
247979,-158.50,-270.50,-34.5829,-168.6591
251885,-303.50,-221.50,-49.3816,-150.9679
255791,-305.50,-278.50,-103.8701,-129.8803
259697,-143.50,-332.50,-134.0814,-135.1481
263603,-78.50,-351.50,-110.8191,-160.5600
267509,-180.50,-303.50,-76.9574,-175.9313
271415,-285.50,-228.50,-75.9945,-160.4482
275321,-256.50,-220.50,-91.1329,-120.9751
279227,-94.50,-250.50,-81.0194,-86.8884
283133,23.50,-281.50,-32.1676,-76.7388
287039,-58.50,-261.50,20.8722,-83.9835
290945,-191.50,-207.50,33.5652,-86.9062
294851,-234.50,-208.50,5.9629,-75.4290
298757,-128.50,-269.50,-25.7821,-67.1063
302663,-47.50,-303.50,-34.2524,-76.9047
306569,-127.50,-271.50,-31.1993,-91.0131
310475,-277.50,-214.50,-46.0803,-88.2756
314381,-305.50,-205.50,-77.0296,-69.4128
318287,-179.50,-253.50,-91.5363,-54.4737
322193,-66.50,-306.50,-73.0220,-59.0634
326099,-116.50,-266.50,-44.9945,-72.2418
330005,-271.50,-209.50,-42.5465,-69.5580
333911,-313.50,-185.50,-66.3140,-49.0263
337817,-209.50,-234.50,-83.2143,-31.0175
341723,-80.50,-273.50,-72.2055,-30.0081
345629,-98.50,-290.50,-45.9327,-43.5323
349535,-256.50,-207.50,-36.0976,-52.9266
353441,-335.50,-157.50,-56.2453,-36.8980
357347,-232.50,-192.50,-78.7158,-6.7947
361253,-96.50,-269.50,-73.1234,3.2773
365159,-83.50,-250.50,-46.0071,-9.6812
369065,-224.50,-204.50,-27.3346,-18.6934
372971,-300.50,-155.50,-31.7683,-10.3951
376877,-225.50,-191.50,-41.6158,5.0936
380783,-65.50,-238.50,-32.6576,11.7391
384689,-40.50,-244.50,-5.1036,7.6604
388595,-177.50,-184.50,13.6986,5.9114
392501,-271.50,-132.50,7.5470,17.0610
396407,-211.50,-161.50,-4.9827,33.9201
400313,-64.50,-236.50,-1.6686,36.5920
404219,-44.50,-254.50,13.0183,21.2321
408125,-158.50,-238.50,18.2794,1.2202
412031,-293.50,-192.50,4.6305,-12.1077
415937,-249.50,-223.50,-15.9054,-16.7065
419843,-90.50,-274.50,-18.6824,-20.2625
423749,-48.50,-303.50,-1.6286,-27.2771
427655,-146.50,-265.50,10.7619,-33.7315
431561,-282.50,-207.50,5.5000,-32.0477
435467,-278.50,-209.50,-11.2492,-20.7609
439373,-136.50,-255.50,-22.5841,-9.3205
443279,-47.50,-282.50,-15.3767,-4.7688
447185,-130.50,-265.50,1.1676,-7.2742
451091,-280.50,-212.50,5.3510,-11.5728
454997,-302.50,-203.50,-9.3749,-9.5828
458903,-191.50,-257.50,-29.1297,-3.8958
462809,-82.50,-256.50,-36.4749,2.5025
466715,-140.50,-206.50,-27.7841,18.1841
470621,-271.50,-175.50,-16.7590,37.4174
474527,-276.50,-148.50,-9.9483,48.2133
478433,-138.50,-209.50,2.5853,51.6122
482339,-32.50,-225.50,22.5254,51.0510
486245,-70.50,-195.50,39.1951,54.5419
490151,-209.50,-141.50,45.5083,64.7364
494057,-219.50,-106.50,48.2216,77.9735
497963,-92.50,-157.50,61.7674,89.6930
501869,22.50,-196.50,83.5201,92.3611
505775,-1.50,-174.50,98.8163,90.1795
509681,-143.50,-116.50,101.6110,92.9814
513587,-197.50,-99.50,96.0681,99.5791
517493,-123.50,-153.50,88.8866,100.2311
521399,10.50,-202.50,84.2167,91.0582
525305,-3.50,-202.50,84.4868,79.2296
529211,-157.50,-175.50,81.0956,68.0634
533117,-237.50,-153.50,67.6796,56.3437
537023,-166.50,-178.50,54.2400,48.9880
540929,-20.50,-228.50,51.1469,47.9215
544835,11.50,-234.50,61.6040,47.3667
548741,-144.50,-193.50,71.9407,44.4048
552647,-269.50,-168.50,61.2413,40.2344
556553,-208.50,-197.50,36.9511,35.5127
560459,-66.50,-226.50,23.2940,34.2965
564365,-44.50,-259.50,23.1851,35.6752
568271,-175.50,-233.50,21.5633,29.1301
572177,-285.50,-192.50,12.8577,17.5952
576083,-273.50,-241.50,0.2380,7.2707
579989,-117.50,-287.50,-10.5400,-4.9577
583895,-76.50,-302.50,-12.3762,-13.7765
587801,-189.50,-246.50,-12.1818,-11.9588
591707,-305.50,-209.50,-16.1225,-2.5244
595613,-335.50,-222.50,-26.9295,4.8837
599519,-166.50,-245.50,-41.4213,10.4448
603425,-125.50,-288.50,-47.2593,16.3382
607331,-234.50,-262.50,-53.5423,14.3020
611237,-367.50,-205.50,-67.3935,8.9614
615143,-360.50,-204.50,-76.4336,11.4116
619049,-203.50,-250.50,-71.2011,18.0782
622955,-111.50,-286.50,-54.0030,20.7702
626861,-188.50,-239.50,-38.8898,21.7422
630767,-319.50,-177.50,-33.2826,30.0415
634673,-320.50,-190.50,-29.1264,40.4596
638579,-170.50,-258.50,-16.3332,37.7237
642485,-47.50,-289.50,5.8698,24.1043
646391,-83.50,-225.50,30.5725,21.4082
650297,-239.50,-188.50,46.6296,35.2864
654203,-288.50,-191.50,45.9581,44.5429
658109,-154.50,-244.50,39.4016,39.2677
662015,-42.50,-268.50,40.5763,31.6598
665921,-72.50,-241.50,45.8210,33.1562
669827,-218.50,-175.50,48.7699,43.6048
673733,-298.50,-143.50,44.7270,58.7764
677639,-201.50,-200.50,33.3610,70.3497
681545,-48.50,-250.50,27.8238,69.2229
685451,-58.50,-249.50,36.1462,58.8792
689357,-216.50,-194.50,44.3494,49.3298
693263,-278.50,-142.50,43.8434,50.8763
697169,-184.50,-175.50,45.3932,64.5448
701075,-47.50,-221.50,52.0384,77.3366
704981,-30.50,-202.50,58.7503,84.5113
708887,-185.50,-145.50,60.8344,91.8767
712793,-271.50,-106.50,56.1640,100.2838
716699,-207.50,-136.50,51.5864,106.7821
720605,-49.50,-190.50,52.7427,108.6476
724511,-17.50,-206.50,59.7534,104.3984
728417,-152.50,-168.50,65.6603,94.9928
732323,-261.50,-81.50,64.5009,93.4482
736229,-204.50,-66.50,62.2161,115.1506
740135,-30.50,-118.50,68.5149,147.0105
744041,13.50,-162.50,82.4680,159.9851
747947,-133.50,-223.50,86.3626,132.4373
751853,-269.50,-176.50,71.3234,75.5520
755759,-270.50,-194.50,47.3183,33.0107
759665,-98.50,-226.50,29.4910,22.9670
763571,-26.50,-246.50,29.3115,32.0375
767477,-120.50,-187.50,39.7401,47.8200
771383,-261.50,-136.50,47.1180,64.3845
775289,-252.50,-126.50,48.1964,77.5526
779195,-106.50,-221.50,47.2166,77.8002
783101,-24.50,-258.50,47.0026,60.2136
787007,-116.50,-222.50,44.4136,41.7746
790913,-260.50,-175.50,38.9512,36.2725
794819,-286.50,-174.50,32.6523,36.6527
798725,-142.50,-222.50,27.7163,36.0763
802631,-49.50,-250.50,25.7492,36.2567
806537,-115.50,-239.50,23.5233,37.2997
810443,-268.50,-181.50,19.5792,36.4418
814349,-304.50,-175.50,15.7493,34.8632
818255,-175.50,-212.50,14.1890,34.1902
822161,-50.50,-248.50,16.8730,36.1278
826067,-98.50,-222.50,21.2077,41.9043
829973,-235.50,-146.50,24.8918,52.9028
833879,-249.50,-102.50,36.0506,71.1455
837785,-171.50,-225.50,51.3132,76.5519
841691,-49.50,-271.50,51.7361,51.8684
845597,-53.50,-270.50,43.9652,22.3763
849503,-224.50,-217.50,40.3779,8.8581
853409,-293.50,-175.50,35.2110,8.6779
